sponsor_name,facebook_followers_sponsor,x_followers_sponsor,instagram_followers_sponsor,youtube_followers_sponsor,category,source_sheet,snapshot_year_sponsor,social_followers_total_sponsor,platforms_available,facebook_share_sponsor,x_share_sponsor,instagram_share_sponsor,youtube_share_sponsor,log_facebook_followers_sponsor,log_x_followers_sponsor,log_instagram_followers_sponsor,log_youtube_followers_sponsor,log_social_followers_total_sponsor,sponsor_social_total,sponsor_facebook_share,sponsor_x_share,sponsor_instagram_share,sponsor_youtube_share,club_name,facebook_followers_club,x_followers_club,instagram_followers_club,youtube_followers_club,snapshot_year_club,social_followers_total_club,social_platforms_available,facebook_share_club,x_share_club,instagram_share_club,youtube_share_club,log_facebook_followers_club,log_x_followers_club,log_instagram_followers_club,log_youtube_followers_club,log_social_followers_total_club,social_data_status,social_data_notes,sponsor_club_digital_fit,sponsor_club_platform_mix_fit,league,country,SVI_2025,svi_rank,predicted_sponsorship_eur_m,match_based_roi_base_pct,aev_cost_coverage_pct,roi_efficiency_index,roi_proxy_available,sponsor_entity_key,sponsor_club_rank,digital_fit_percentile,svi_percentile,recommendation_class,roi_support,recommendation_evidence,recommendation_priority_order,final_recommendation_rank
Armani,810422.0,3147936.0,5500000.0,257000.0,MODA,MODA,2025,9715358.0,4,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,13.605311612560271,14.962257875612694,15.520258832020865,12.456835254920373,16.089218593276133,9715358.0,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,VfB Stuttgart,630221.0,502745.0,725000.0,92700.0,2025,1950666.0,4,0.3230799121940916,0.257729924036201,0.3716679329008656,0.0475222308688417,13.35382741724851,13.127840351362572,13.493928313146206,11.437134538982278,14.483681923335778,WORKBOOK,,87.7387978851694,73.92674057483404,Bundesliga,Germany,45.64,24,92.16,,,,0,Armani | MODA,8,92.70833333333334,76.04166666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Armani,810422.0,3147936.0,5500000.0,257000.0,MODA,MODA,2025,9715358.0,4,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,13.605311612560271,14.962257875612694,15.520258832020865,12.456835254920373,16.089218593276133,9715358.0,0.083416586398566,0.3240164695938122,0.566113981594914,0.0264529624127078,Real Madrid,132000000.0,48892183.0,180000000.0,19000000.0,2025,379892183.0,4,0.3474670075009151,0.1287001554333114,0.4738186465921569,0.0500141904736165,18.6983124881264,17.705128105269083,19.00846741441004,16.759949589762293,19.75539804411099,WORKBOOK,,85.65449293521546,71.23883508367422,La Liga,Spain,100.0,1,187.75,,,,0,Armani | MODA,13,87.5,100.0,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,3
Asics,4800000.0,133440.0,1400000.0,47400.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,6380840.0,4,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,15.38412668421143,11.80141471156929,14.151983508870948,10.766398604507042,15.668810464815538,6380840.0,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,Inter,35000000.0,2886796.0,14300000.0,4010000.0,2025,56196796.0,4,0.6228113076055083,0.0513694054728671,0.2544629056788219,0.0713563812428025,17.370858648025116,14.875658140966744,16.475770165160203,15.20430204865928,17.8443703203572,WORKBOOK,,98.8823788319134,87.05592530170843,Serie A,Italy,54.34,15,107.45,,,,0,Asics | ABBIGLIAMENTO SPORTIVO,3,97.91666666666666,85.41666666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
Asics,4800000.0,133440.0,1400000.0,47400.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,6380840.0,4,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,15.38412668421143,11.80141471156929,14.151983508870948,10.766398604507042,15.668810464815538,6380840.0,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,Tottenham Hotspur,37000000.0,8700983.0,17400000.0,4900000.0,2025,68000983.0,4,0.5441097814718355,0.1279537826681123,0.2558786539894577,0.0720577818705944,17.426428497635523,15.978946680677376,16.67198082165602,15.404745967162468,18.03503273362392,WORKBOOK,,96.59160464466646,79.18577268834113,Premier League,England,75.82,6,145.22,,,,0,Asics | ABBIGLIAMENTO SPORTIVO,14,86.45833333333334,94.79166666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Asics,4800000.0,133440.0,1400000.0,47400.0,ABBIGLIAMENTO SPORTIVO,ABBIGLIAMENTO SPORTIVO,2025,6380840.0,4,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,15.38412668421143,11.80141471156929,14.151983508870948,10.766398604507042,15.668810464815538,6380840.0,0.7522520545884241,0.0209126071175581,0.219406849254957,0.0074284890390606,Bayern Munich,64000000.0,6494125.0,44100000.0,5120000.0,2025,119714125.0,4,0.5346069229508214,0.0542469403673125,0.3683775828458003,0.0427685538360657,17.974393656948944,15.68640863398211,17.60197036309281,15.448665192328171,18.600617175261277,WORKBOOK,,94.65059091006157,78.23548683623972,Bundesliga,Germany,90.74,3,171.46,-85.76043760399334,14.239562396006654,26.21589395300713,1,Asics | ABBIGLIAMENTO SPORTIVO,18,82.29166666666666,97.91666666666666,PRIORITY,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,1,3
Audi,1300000.0,611009.0,5800000.0,335000.0,AUTO,AUTO,2025,8046009.0,4,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,14.077875591662238,13.322868604631912,15.573368647930426,12.721888795877376,15.90068687434469,8046009.0,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,RB Leipzig,1400000.0,278845.0,2200000.0,225000.0,2025,4103845.0,4,0.3411434886064167,0.067947254343183,0.5360826249529405,0.0548266320974598,14.151983508870948,12.538414937085085,14.603968372873895,12.323860125621126,15.227435140762214,WORKBOOK,,94.11634119975332,80.72362142629375,Bundesliga,Germany,49.99,19,99.8,,,,0,Audi | AUTO,5,95.83333333333334,81.25,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
Audi,1300000.0,611009.0,5800000.0,335000.0,AUTO,AUTO,2025,8046009.0,4,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,14.077875591662238,13.322868604631912,15.573368647930426,12.721888795877376,15.90068687434469,8046009.0,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,Bayer Leverkusen,3000000.0,482000.0,4600000.0,500000.0,2025,8582000.0,4,0.3495688650664181,0.0561640643206711,0.536005593101841,0.0582614775110696,14.914123179965662,13.085701467719382,15.341567078850604,13.122365377402328,,MANUAL_ESTIMATE_2025,"Manual 2025 approximation from public social-media sources; Facebook=3.0m, X=482k, Instagram=4.6m, YouTube=500k.",93.70290997835367,79.53759923893261,Bundesliga,Germany,52.23,17,103.75,,,,0,Audi | AUTO,6,94.79166666666666,83.33333333333334,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Audi,1300000.0,611009.0,5800000.0,335000.0,AUTO,AUTO,2025,8046009.0,4,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,14.077875591662238,13.322868604631912,15.573368647930426,12.721888795877376,15.90068687434469,8046009.0,0.1615707862121456,0.0759393880866899,0.7208542769464961,0.0416355487546683,Real Madrid,132000000.0,48892183.0,180000000.0,19000000.0,2025,379892183.0,4,0.3474670075009151,0.1287001554333114,0.4738186465921569,0.0500141904736165,18.6983124881264,17.705128105269083,19.00846741441004,16.759949589762293,19.75539804411099,WORKBOOK,,91.22649525826112,75.29643696456608,La Liga,Spain,100.0,1,187.75,,,,0,Audi | AUTO,9,91.66666666666666,100.0,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,3
BMW,20000000.0,2669046.0,43400000.0,1920000.0,AUTO,AUTO,2025,67989046.0,4,0.294165033584969,0.0392570003114913,0.6383381228793826,0.028239843224157,16.811242881518265,14.79723203782322,17.585970022112107,14.467836264837162,18.034857176637235,67989046.0,0.294165033584969,0.0392570003114913,0.6383381228793826,0.028239843224157,RB Leipzig,1400000.0,278845.0,2200000.0,225000.0,2025,4103845.0,4,0.3411434886064167,0.067947254343183,0.5360826249529405,0.0548266320974598,14.151983508870948,12.538414937085085,14.603968372873895,12.323860125621126,15.227435140762214,WORKBOOK,,98.87044210165146,89.77445020735578,Bundesliga,Germany,49.99,19,99.8,,,,0,BMW | AUTO,4,96.875,81.25,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
BMW,20000000.0,2669046.0,43400000.0,1920000.0,AUTO,AUTO,2025,67989046.0,4,0.294165033584969,0.0392570003114913,0.6383381228793826,0.028239843224157,16.811242881518265,14.79723203782322,17.585970022112107,14.467836264837162,18.034857176637235,67989046.0,0.294165033584969,0.0392570003114913,0.6383381228793826,0.028239843224157,Bayer Leverkusen,3000000.0,482000.0,4600000.0,500000.0,2025,8582000.0,4,0.3495688650664181,0.0561640643206711,0.536005593101841,0.0582614775110696,14.914123179965662,13.085701467719382,15.341567078850604,13.122365377402328,,MANUAL_ESTIMATE_2025,"Manual 2025 approximation from public social-media sources; Facebook=3.0m, X=482k, Instagram=4.6m, YouTube=500k.",98.7689600910923,89.76674702224584,Bundesliga,Germany,52.23,17,103.75,,,,0,BMW | AUTO,5,95.83333333333334,83.33333333333334,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
