sponsor_name,facebook_followers_sponsor,x_followers_sponsor,instagram_followers_sponsor,youtube_followers_sponsor,category,source_sheet,snapshot_year_sponsor,social_followers_total_sponsor,platforms_available,facebook_share_sponsor,x_share_sponsor,instagram_share_sponsor,youtube_share_sponsor,log_facebook_followers_sponsor,log_x_followers_sponsor,log_instagram_followers_sponsor,log_youtube_followers_sponsor,log_social_followers_total_sponsor,sponsor_social_total,sponsor_facebook_share,sponsor_x_share,sponsor_instagram_share,sponsor_youtube_share,club_name,facebook_followers_club,x_followers_club,instagram_followers_club,youtube_followers_club,snapshot_year_club,social_followers_total_club,social_platforms_available,facebook_share_club,x_share_club,instagram_share_club,youtube_share_club,log_facebook_followers_club,log_x_followers_club,log_instagram_followers_club,log_youtube_followers_club,log_social_followers_total_club,social_data_status,social_data_notes,sponsor_club_digital_fit,sponsor_club_platform_mix_fit,league,country,SVI_2025,svi_rank,predicted_sponsorship_eur_m,match_based_roi_base_pct,aev_cost_coverage_pct,roi_efficiency_index,roi_proxy_available,sponsor_entity_key,sponsor_club_rank,digital_fit_percentile,svi_percentile,recommendation_class,roi_support,recommendation_evidence,recommendation_priority_order,final_recommendation_rank
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Inter,35000000.0,2886796.0,14300000.0,4010000.0,2025,56196796.0,4,0.6228113076055083,0.0513694054728671,0.2544629056788219,0.0713563812428025,17.370858648025116,14.875658140966744,16.475770165160203,15.20430204865928,17.8443703203572,WORKBOOK,,97.65980305428027,83.79652116860844,Serie A,Italy,54.34,15,107.45,,,,0,Acqua Lete | BEVANDE,9,91.66666666666666,85.41666666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,1
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Tottenham Hotspur,37000000.0,8700983.0,17400000.0,4900000.0,2025,68000983.0,4,0.5441097814718355,0.1279537826681123,0.2558786539894577,0.0720577818705944,17.426428497635523,15.978946680677376,16.67198082165602,15.404745967162468,18.03503273362392,WORKBOOK,,95.09770854965691,75.92636855524117,Premier League,England,75.82,6,145.22,,,,0,Acqua Lete | BEVANDE,16,84.375,94.79166666666666,PRIORITY,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,1,2
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Milan,29000000.0,7920765.0,18200000.0,2190000.0,2025,57310765.0,4,0.5060131373224559,0.138207280953238,0.317566865492024,0.038212716232282,17.182806422433504,15.884998476285524,16.716932206992077,14.599412558413585,17.863999052343328,WORKBOOK,,91.2915170708328,71.79621457371637,Serie A,Italy,48.15,22,96.56,-81.99956062385442,18.00043937614558,36.26878184590585,1,Acqua Lete | BEVANDE,25,75.0,78.125,PRIORITY,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,1,3
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Brest,900485.0,156703.0,395000.0,32000.0,2025,1484188.0,4,0.6067189601317353,0.10558163790571,0.2661387910426442,0.0215606109199104,13.710689896558916,11.962113954502044,12.886643575525625,10.373522431293592,14.210379053090625,WORKBOOK,,96.6028824361957,80.20158632340714,Ligue 1,France,28.92,46,62.75,,,,0,Acqua Lete | BEVANDE,13,87.5,53.125,STRONG_FIT,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,2,4
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Athletic Bilbao,4300000.0,984531.0,1600000.0,746000.0,2025,7630531.0,4,0.5635256576508241,0.1290252277331682,0.2096839656375159,0.0977651489784918,15.274125813221904,13.79992168034212,14.285514812209817,13.522482219667571,15.847668125600624,WORKBOOK,,96.48202057634046,77.86795617314002,La Liga,Spain,31.48,41,67.25,,,,0,Acqua Lete | BEVANDE,14,86.45833333333334,58.333333333333336,STRONG_FIT,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,2,5
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Lens,1200000.0,370482.0,490000.0,135000.0,2025,2195482.0,4,0.5465770158899048,0.1687474550007697,0.2231856148217111,0.0614899142876142,13.997832948091215,12.822562838724958,13.102162710901052,11.81303746480054,14.601912625843022,WORKBOOK,,94.99268985004358,76.17309199704809,Ligue 1,France,32.44,40,68.94,,,,0,Acqua Lete | BEVANDE,17,83.33333333333334,59.375,STRONG_FIT,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,2,6
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Brentford,1500000.0,396408.0,875000.0,280000.0,2025,3051408.0,4,0.4915763477057148,0.1299098645608846,0.2867528694950003,0.0917609182384001,14.220976332738882,12.89020178551928,13.68198030819624,12.54254845357358,14.931114009122709,WORKBOOK,,92.00182838114708,70.6730251786291,Premier League,England,28.16,47,61.42,,,,0,Acqua Lete | BEVANDE,23,77.08333333333334,52.083333333333336,STRONG_FIT,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,2,7
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Bayern Munich,64000000.0,6494125.0,44100000.0,5120000.0,2025,119714125.0,4,0.5346069229508214,0.0542469403673125,0.3683775828458003,0.0427685538360657,17.974393656948944,15.68640863398211,17.60197036309281,15.448665192328171,18.600617175261277,WORKBOOK,,91.13752573692815,74.97608270313975,Bundesliga,Germany,90.74,3,171.46,-85.76043760399334,14.239562396006654,26.21589395300713,1,Acqua Lete | BEVANDE,26,73.95833333333334,97.91666666666666,HIGH_VALUE,ROI_AVAILABLE,SPONSOR_FIT + SVI + ROI_PROXY,3,8
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,Aston Villa,7100000.0,2368453.0,4400000.0,757000.0,2025,14625453.0,4,0.4854550488111376,0.1619404882706881,0.3008453823618318,0.0517590805563424,15.775605482856603,14.677747979582506,15.29711532616119,13.537119853422675,16.49827399333542,WORKBOOK,,90.5068779313712,70.06089528917137,Premier League,England,55.92,14,110.23,,,,0,Acqua Lete | BEVANDE,29,70.83333333333334,86.45833333333334,HIGH_VALUE,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,3,9
Acqua Lete,133405.0,5231.0,24300.0,7040.0,BEVANDE,BEVANDE,2025,169976.0,4,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,11.801152388963446,8.562548893137034,10.098272780745283,8.859505484519133,12.043418412761676,169976.0,0.7848460959194239,0.030774932931708,0.1429613592507177,0.0414176118981503,SV Werder Bremen,1100000.0,476903.0,582000.0,167000.0,2025,2325903.0,4,0.4729345978744599,0.205039935027385,0.2502253963299415,0.0718000707682134,13.910821646859096,13.07507049175376,13.274227444925158,12.025755079404917,14.659619338638072,WORKBOOK,,90.163230196404,68.8088501955036,Bundesliga,Germany,46.73,23,94.08,,,,0,Acqua Lete | BEVANDE,32,67.70833333333334,77.08333333333334,HIGH_VALUE,ROI_NOT_AVAILABLE,SPONSOR_FIT + SVI,3,10
